id,taxid,superkingdom,organism,title,valid
NC_023543,9929,Eukaryota,Damaliscus lunatus,"Damaliscus lunatus mitochondrion, complete genome",False
AP009493,455632,Bacteria,Streptomyces griseus subsp. griseus NBRC 13350,"Streptomyces griseus subsp. griseus NBRC 13350 DNA, complete genome",True
NZ_KI421518,928723,Bacteria,Sinorhizobium meliloti BO21CC,"Sinorhizobium meliloti BO21CC SinmeBODRAFT_scaffold1.1, whole genome shotgun sequence",True
NC_000001,9606,Eukaryota,Homo sapiens,"Homo sapiens chromosome 1, GRCh38.p14 Primary Assembly",False
PDLE01000004,582,Bacteria,Morganella morganii,"Morganella morganii strain FDAARGOS_438 pBCCDC_12.contig.3, whole genome shotgun sequence",True
CP007793,2970906,Bacteria,Azospirillum argentinense,"Azospirillum brasilense strain Az39, complete genome",True
CP035765,13689,Bacteria,Sphingomonas paucimobilis,"Sphingomonas paucimobilis strain AIMST S2 chromosome, complete genome",True
MF925712,9796,Eukaryota,Equus caballus,"Equus caballus mitochondrion, complete genome",False
NZ_JNYC01000004,1961,Bacteria,Streptomyces virginiae,"Streptomyces virginiae strain NRRL B-8091 contig4.1, whole genome shotgun sequence",True
CP016349,691,Bacteria,Vibrio natriegens,"Vibrio natriegens strain CCUG 16373 chromosome 1, complete sequence",True
FP236843,634500,Bacteria,Erwinia billingiae Eb661,Erwinia billingiae strain Eb661 complete chromosome,True
POWA01000006,69218,Bacteria,Enterobacter cancerogenus,"Enterobacter cancerogenus strain FDAARGOS_232 unitig_0_quiver_quiver_pilon, whole genome shotgun sequence",True
QUAI01000001,1833,Bacteria,Rhodococcus erythropolis,"Rhodococcus erythropolis strain ATCC 15903 DVG80_1, whole genome shotgun sequence",True
CP010812,666,Bacteria,Vibrio cholerae,"Vibrio cholerae strain 10432-62, complete genome",True
NZ_CM002803,388467,Bacteria,Planktothrix agardhii NIVA-CYA 126/8,"Planktothrix agardhii NIVA-CYA 126/8 chromosome, whole genome shotgun sequence",True
NZ_QEOC01000001,33008,Bacteria,Rhodococcus globerulus,"Rhodococcus globerulus strain WS3306 Ga0215731_11, whole genome shotgun sequence",True
CP006884,1417673,Archaea,Haloarcula hispanica N601,"Haloarcula hispanica N601 chromosome 1, complete sequence",True
CP025095,1307,Bacteria,Streptococcus suis,"Streptococcus suis strain HN136 chromosome, complete genome",True
NZ_ATTH01000001,1089550,Bacteria,Salisaeta longa DSM 21114,"Salisaeta longa DSM 21114 SalloDRAFT_contig1.1_C, whole genome shotgun sequence",True
LR134303,24,Bacteria,Shewanella putrefaciens,"Shewanella putrefaciens strain NCTC12093 genome assembly, chromosome: 1",True
CP020928,137591,Bacteria,Weissella cibaria,"Weissella cibaria strain M2 chromosome, complete genome",True
CP000554,59922,Bacteria,Prochlorococcus marinus str. MIT 9303,"Prochlorococcus marinus str. MIT 9303, complete genome",True
CP027541,1214915,Bacteria,Mycolicibacterium smegmatis MKD8,"Mycolicibacterium smegmatis MKD8 chromosome, complete genome",True
LT906480,40324,Bacteria,Stenotrophomonas maltophilia,"Stenotrophomonas maltophilia strain NCTC10257 genome assembly, chromosome: 1",True
CP007567,1208104,Bacteria,Aeromonas media WS,"Aeromonas media WS, complete genome",True
NZ_FNRZ01000004,410332,Bacteria,Gordonia malaquae,"Gordonia malaquae strain DSM 45064, whole genome shotgun sequence",True
CP004353,1224164,Bacteria,Corynebacterium vitaeruminis DSM 20294,"Corynebacterium vitaeruminis DSM 20294, complete genome",True
NBTS02000002,1496,Bacteria,Clostridioides difficile,"Clostridioides difficile strain FDAARGOS_268 scf7180000000004_quiver_pilon, whole genome shotgun sequence",True
CP001807,518766,Bacteria,Rhodothermus marinus DSM 4252,"Rhodothermus marinus DSM 4252, complete genome",True
NC_014574,7176,Eukaryota,Culex quinquefasciatus,"Culex quinquefasciatus mitochondrion, complete genome",False
AP017920,274,Bacteria,Thermus thermophilus,"Thermus thermophilus DNA, complete genome, strain: TMY",True
CP028366,59843,Bacteria,Paenibacillus glucanolyticus,Paenibacillus glucanolyticus strain W10507 chromosome,True
CP005976,1331671,Bacteria,Pseudomonas putida H8234,"Pseudomonas putida H8234, complete genome",True
CP013753,1590,Bacteria,Lactiplantibacillus plantarum,"Lactiplantibacillus plantarum strain DF, complete genome",True
CP002930,1069642,Bacteria,Bdellovibrio bacteriovorus str. Tiberius,"Bdellovibrio bacteriovorus str. Tiberius, complete genome",True
CP022298,40214,Bacteria,Acinetobacter johnsonii,"Acinetobacter johnsonii strain IC001 chromosome, complete genome",True
CALF01000071,1208664,Bacteria,Cronobacter sakazakii 696,"Cronobacter sakazakii 696 WGS project CALF00000000 data, contig Csakazakii_696, whole genome shotgun sequence",True
CP025430,1077935,Bacteria,Paracoccus zhejiangensis,"Paracoccus zhejiangensis strain J6 chromosome, complete genome",True
CP003184,1094508,Bacteria,Thermoanaerobacterium saccharolyticum JW/SL-YS485,"Thermoanaerobacterium saccharolyticum JW/SL-YS485, complete genome",True
CP000388,3042615,Bacteria,Paraglaciecola sp. T6c,"Pseudoalteromonas atlantica T6c, complete genome",True
NZ_QTTZ01000001,69370,Bacteria,Microbacterium trichothecenolyticum,"Microbacterium trichothecenolyticum strain ZKA46 Ga0244590_11, whole genome shotgun sequence",True
CP031422,82380,Bacteria,Microbacterium oxydans,"Microbacterium oxydans strain HG3 chromosome, complete genome",True
CP029449,615,Bacteria,Serratia marcescens,"Serratia marcescens strain CAV1761 chromosome, complete genome",True
CP034692,2497325,Archaea,Halorubrum sp. BOL3-1,"Halorubrum sp. BOL3-1 chromosome, complete genome",True
CP017101,56730,Bacteria,Rhizobium gallicum,"Rhizobium gallicum strain IE4872, complete sequence",True
CP012388,96345,Bacteria,Flavobacterium psychrophilum,"Flavobacterium psychrophilum strain Z1, complete genome",True
CP016193,36809,Bacteria,Mycobacteroides abscessus,"Mycobacteroides abscessus strain FLAC055 chromosome, complete genome",True
CP014324,1247,Bacteria,Oenococcus oeni,"Oenococcus oeni strain UBOCC-A-315001, complete genome",True
CP033337,1314,Bacteria,Streptococcus pyogenes,"Streptococcus pyogenes strain TSPY453 chromosome, complete genome",True
NZ_AGBZ02000001,570509,Bacteria,Spiroplasma melliferum KC3,"Spiroplasma melliferum KC3 contig1, whole genome shotgun sequence",True
HQ914635,554065,Eukaryota,Chlorella variabilis,"Chlorella variabilis plastid, complete genome",False
NZ_UGVK01000001,37329,Bacteria,Nocardia farcinica,"Nocardia farcinica strain NCTC630, whole genome shotgun sequence",True
CP011301,292,Bacteria,Burkholderia cepacia,"Burkholderia cepacia strain LO6, complete genome",True
CP018657,149539,Bacteria,Salmonella enterica subsp. enterica serovar Enteritidis,"Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392, complete sequence",True
NZ_FODB01000001,77097,Bacteria,Vreelandella aquamarina,"Vreelandella aquamarina strain 558, whole genome shotgun sequence",True
CP002453,688270,Bacteria,Cellulophaga algicola DSM 14237,"Cellulophaga algicola DSM 14237 chromosome, complete genome",True
NZ_LK391965,1238450,Bacteria,Vibrio nigripulchritudo SOn1,"Vibrio nigripulchritudo SOn1, whole genome shotgun sequence",True
NZ_CP016896,487316,Bacteria,Acinetobacter soli,"Acinetobacter soli strain GFJ2 chromosome, complete genome",True
NZ_FLYG01000003,1028490,Bacteria,Lactiplantibacillus pentosus MP-10,"Lactiplantibacillus pentosus MP-10 isolate Alorena table olives, whole genome shotgun sequence",True
CP014518,37927,Bacteria,Sinomonas atrocyanea,"Sinomonas atrocyanea strain KCTC 3377, complete genome",True
NZ_CP029604,2055,Bacteria,Gordonia terrae,"Gordonia terrae strain NRRL B-16283 chromosome, complete genome",True
CP020557,1477,Bacteria,Paenibacillus larvae subsp. pulvifaciens,"Paenibacillus larvae subsp. pulvifaciens strain SAG 10367, complete sequence",True
NVTK01000009,53249,Bacteria,Pseudoalteromonas sp.,"MAG: Pseudoalteromonas sp. isolate NORP117 Contig_source1383C_385, whole genome shotgun sequence",True
CP020451,1304,Bacteria,Streptococcus salivarius,"Streptococcus salivarius strain FDAARGOS_259 chromosome, complete genome",True
NZ_GL545251,440497,Bacteria,Lactobacillus jensenii 1153,"Lactobacillus jensenii 1153 supercont2.1, whole genome shotgun sequence",True
AP017373,1281486,Bacteria,Lactococcus formosensis,"Lactococcus formosensis DNA, complete genome, strain: 122061",True
CP021694,584,Bacteria,Proteus mirabilis,"Proteus mirabilis strain AR_0155, complete genome",True
RXKE01000007,84139,Bacteria,Gordonia sp. (in: high G+C Gram-positive bacteria),"MAG: Gordonia sp. (in: high G+C Gram-positive bacteria) isolate AWTP1-33 sample_33_scaffold_7, whole genome shotgun sequence",True
CP000830,398580,Bacteria,Dinoroseobacter shibae DFL 12 = DSM 16493,"Dinoroseobacter shibae DFL 12, complete genome",True
CP014475,1771,Bacteria,Mycolicibacterium phlei,"Mycolicibacterium phlei strain CCUG 21000, complete genome",True
NZ_NGMG01000001,1352,Bacteria,Enterococcus faecium,"Enterococcus faecium strain 10E2_DIV0373 scaffold00001, whole genome shotgun sequence",True
NZ_UWXU01000001,573,Bacteria,Klebsiella pneumoniae,"Klebsiella pneumoniae isolate kpneu038, whole genome shotgun sequence",True
CP027029,1639,Bacteria,Listeria monocytogenes,Listeria monocytogenes strain Lm16 chromosome,True
CP004046,1232385,Bacteria,[Brevibacterium] flavum ZL-1,"[Brevibacterium] flavum ZL-1, complete genome",True
CP003876,1133849,Bacteria,Nocardia brasiliensis ATCC 700358,"Nocardia brasiliensis ATCC 700358, complete genome",True
CP024902,60550,Bacteria,Burkholderia pyrrocinia,"Burkholderia pyrrocinia strain mHSR5 chromosome mHSR5_A, complete sequence",True
NZ_KN046795,80866,Bacteria,Delftia acidovorans,"Delftia acidovorans strain 2167 scaffold1, whole genome shotgun sequence",True
CP012831,294,Bacteria,Pseudomonas fluorescens,"Pseudomonas fluorescens strain FW300-N2C3, complete genome",True
NZ_CP023560,1280,Bacteria,Staphylococcus aureus,Staphylococcus aureus strain NMR08 chromosome,True
AP017936,1245,Bacteria,Leuconostoc mesenteroides,"Leuconostoc mesenteroides DNA, complete genome, strain: LK-151",True
CP027116,1408,Bacteria,Bacillus pumilus,"Bacillus pumilus strain 145 chromosome, complete genome",True
CP000362,375451,Bacteria,Roseobacter denitrificans OCh 114,"Roseobacter denitrificans OCh 114, complete genome",True
NZ_OCQN01000001,1882786,Bacteria,Streptomyces sp. OK228,"Streptomyces sp. OK228, whole genome shotgun sequence",True
CP013614,332949,Bacteria,Enterococcus silesiacus,"Enterococcus silesiacus strain LMG 23085, complete genome",True
NZ_UHDY01000002,214473,Bacteria,Staphylococcus nepalensis,"Staphylococcus nepalensis strain NCTC10516, whole genome shotgun sequence",True
KP691602,140095,Eukaryota,Dunaliella viridis,"Dunaliella viridis strain CCM-UDEC 002 mitochondrion, complete genome",False
CP009885,2371,Bacteria,Xylella fastidiosa,"Xylella fastidiosa strain Hib4 chromosome, complete genome",True
NC_001637,5755,Eukaryota,Acanthamoeba castellanii,"Acanthamoeba castellanii mitochondrion, complete genome",False
NBSQ01000002,57975,Bacteria,Burkholderia thailandensis,"Burkholderia thailandensis strain FDAARGOS_243 unitig_0_quiver_quiver_pilon, whole genome shotgun sequence",True
CP025034,2836161,Bacteria,Enterobacter sp. SGAir0187,"Enterobacter sp. SGAir0187 chromosome, complete genome",True
CP020358,571,Bacteria,Klebsiella oxytoca,"Klebsiella oxytoca strain AR_0147, complete genome",True
NVUT01000001,239,Bacteria,Flavobacterium sp.,"MAG: Flavobacterium sp. isolate NORP82 Contig_source1382A_55, whole genome shotgun sequence",True
CP016400,,?,?,,False
CP032523,624,Bacteria,Shigella sonnei,"Shigella sonnei strain AR_0030 chromosome, complete genome",True
LC361338,1667,Bacteria,Arthrobacter sp.,"Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds",True
NZ_MIGA01000001,58346,Bacteria,Streptomyces platensis,"Streptomyces platensis strain DSM 40041 contig00001, whole genome shotgun sequence",True
RKJP01000005,632,Bacteria,Yersinia pestis,"Yersinia pestis strain FDAARGOS_604 unitig_0_quiver_quiver_pilon, whole genome shotgun sequence",True
NC_014640,762376,Bacteria,Achromobacter xylosoxidans A8,"Achromobacter xylosoxidans A8, complete sequence",True
NZ_JYNI01000003,485447,Bacteria,Thalassomonas actiniarum,"Thalassomonas actiniarum strain A5K-106 contig_3, whole genome shotgun sequence",True
CP011458,55601,Bacteria,Vibrio anguillarum,"Vibrio anguillarum strain 4299 chromosome I, partial sequence",True
NC_012898,44056,Eukaryota,Aureococcus anophagefferens,"Aureococcus anophagefferens chloroplast, complete genome",False
CP000031,246200,Bacteria,Ruegeria pomeroyi DSS-3,"Ruegeria pomeroyi DSS-3, complete genome",True
CP001397,592029,Bacteria,Nonlabens dokdonensis DSW-6,"Nonlabens dokdonensis DSW-6, complete genome",True
AP006716,279808,Bacteria,Staphylococcus haemolyticus JCSC1435,"Staphylococcus haemolyticus JCSC1435 DNA, complete genome",True
AE000666,187420,Archaea,Methanothermobacter thermautotrophicus str. Delta H,"Methanothermobacter thermautotrophicus str. Delta H, complete genome",True
CP016224,663,Bacteria,Vibrio alginolyticus,"Vibrio alginolyticus strain ZJ-T chromosome 1, complete sequence",True
NZ_ADEZ01000001,470735,Bacteria,Brucella inopinata BO1,"Brucella inopinata BO1 chromosome I map unlocalized VBI00041_1, whole genome shotgun sequence",True
KT970065,1807362,Eukaryota,Tipula cockerelliana,"Tipula cockerelliana mitochondrion, complete genome",False
CM000736,526989,Bacteria,Bacillus cereus F65185,"Bacillus cereus F65185 chromosome, whole genome shotgun sequence",True
CP023567,79967,Bacteria,Erwinia pyrifoliae,"Erwinia pyrifoliae strain EpK1/15 chromosome, complete genome",True
AP017894,1655,Bacteria,Actinomyces naeslundii,"Actinomyces naeslundii DNA, complete genome",True
AP017605,381,Bacteria,Mesorhizobium loti,"Mesorhizobium loti DNA, nearly complete genome, strain: TONO",True
FN543502,637910,Bacteria,Citrobacter rodentium ICC168,"Citrobacter rodentium ICC168, complete genome",True
CP028813,67780,Bacteria,Edwardsiella ictaluri,"Edwardsiella ictaluri strain MS-17-156 chromosome, complete genome",True
NZ_UFTQ01000001,31943,Bacteria,Brevibacterium iodinum,"Brevibacterium iodinum strain NCTC9742, whole genome shotgun sequence",True
CP022674,1404,Bacteria,Priestia megaterium,"Priestia megaterium strain SR7 chromosome, complete genome",True
CP011102,1006155,Bacteria,Paenilisteria weihenstephanensis,"Paenilisteria weihenstephanensis strain WS 4560, complete genome",True
AP017369,2506452,Bacteria,Corynebacterium suranareeae,"Corynebacterium glutamicum DNA, complete genome, strain: N24",True
CP012196,824,Bacteria,Campylobacter gracilis,"Campylobacter gracilis strain ATCC 33236, complete genome",True
CP017605,138072,Bacteria,Candidatus Williamhamiltonella defendens,Candidatus Williamhamiltonella defendens strain NY26 chromosome,True
NZ_CP029289,41673,Archaea,Acidianus brierleyi,"Acidianus brierleyi strain DSM 1651 chromosome, complete genome",True
NZ_CM001889,1200984,Bacteria,Streptomyces lividans 1326,"Streptomyces lividans 1326 chromosome, whole genome shotgun sequence",True
CP019236,1842727,Bacteria,Rhodoferax koreensis,"Rhodoferax koreensis, complete genome",True
CP002293,581103,Bacteria,Geobacillus sp. Y4.1MC1,"Geobacillus sp. Y4.1MC1, complete genome",True
CP019892,104336,Bacteria,Microbacterium foliorum,"Microbacterium foliorum strain 122, partial genome",True
CP034433,2496266,Bacteria,Iodobacter ciconiae,"Iodobacter ciconiae strain H11R3 chromosome, complete genome",True
CP014861,1648,Bacteria,Erysipelothrix rhusiopathiae,"Erysipelothrix rhusiopathiae strain GXBY-1 chromosome, complete genome",True
CP003488,1157951,Bacteria,Providencia stuartii MRSN 2154,"Providencia stuartii MRSN 2154, complete genome",True
CP022426,1324960,Bacteria,Aeromonas salmonicida subsp. pectinolytica 34mel,"Aeromonas salmonicida subsp. pectinolytica 34mel chromosome, complete genome",True
KY464958,293688,Eukaryota,Apis mellifera lamarckii,"Apis mellifera lamarckii voucher 1842 mitochondrion, complete genome",False
KU167097,1812852,Eukaryota,Tetraselmis sp. CCMP 881,"Tetraselmis sp. CCMP 881 chloroplast, complete genome",False
CP020567,1894,Bacteria,Kitasatospora aureofaciens,"Kitasatospora aureofaciens strain DM-1 chromosome, complete genome",True
CP024679,546,Bacteria,Citrobacter freundii,"Citrobacter freundii strain UMH15 chromosome, complete genome",True
AP008232,343509,Bacteria,Sodalis glossinidius str. 'morsitans',"Sodalis glossinidius str. 'morsitans' DNA, complete genome",True
NZ_LT629739,260553,Bacteria,Brevibacterium picturae,Brevibacterium picturae strain DSM 22082 chromosome I,True
NZ_JNIU01000001,1400525,Bacteria,Candidatus Pelagibacter ubique HTCC7217,"Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",True
CP014201,47715,Bacteria,Lacticaseibacillus rhamnosus,"Lactobacillus rhamnosus strain BFE5264, complete genome",True
NZ_LT629758,113562,Bacteria,Actinoplanes derwentensis,Actinoplanes derwentensis strain DSM 43941 chromosome I,True
NZ_KN046823,359391,Bacteria,Brucella abortus 2308,"Brucella abortus 2308 scaffold1, whole genome shotgun sequence",True
CP014013,518,Bacteria,Bordetella bronchiseptica,"Bordetella bronchiseptica strain FDAARGOS_176, complete genome",True
NZ_LT571449,1282,Bacteria,Staphylococcus epidermidis,Staphylococcus epidermidis isolate BPH0662 chromosome 1,True
CP030026,1243609,Bacteria,Salmonella enterica subsp. diarizonae serovar 59:z10:-,Salmonella enterica subsp. diarizonae serovar 59:z10:- strain SA20051472 chromosome,True
CP012598,108619,Bacteria,Salmonella enterica subsp. enterica serovar Newport,"Salmonella enterica subsp. enterica serovar Newport strain 0211-109, complete genome",True
CP018032,1275971,Bacteria,Glaesserella parasuis D74,"Glaesserella parasuis D74, complete sequence",True
NZ_NQJM01000001,552,Bacteria,Erwinia amylovora,"Erwinia amylovora strain RISTBO01-2 tig00000000, whole genome shotgun sequence",True
NC_010163,441768,Bacteria,Acholeplasma laidlawii PG-8A,"Acholeplasma laidlawii PG-8A, complete sequence",True
AL645882,100226,Bacteria,Streptomyces coelicolor A3(2),Streptomyces coelicolor A3(2) complete genome,True
AP012495,1204343,Bacteria,Bacillus subtilis BEST7613,"Bacillus subtilis BEST7613 DNA, complete genome",True
CP032410,1465,Bacteria,Brevibacillus laterosporus,"Brevibacillus laterosporus strain E7593-50 chromosome, complete genome",True
NZ_AOLH01000002,1230452,Archaea,Haloferax volcanii DSM 14919,"Haloferax volcanii DSM 14919 contig_2, whole genome shotgun sequence",True
CP013913,47917,Bacteria,Serratia fonticola,"Serratia fonticola strain GS2, complete genome",True
CP001404,419942,Archaea,Saccharolobus islandicus Y.N.15.51,"Sulfolobus islandicus Y.N.15.51, complete genome",True
NZ_PETF01000001,2138,Bacteria,Spiroplasma poulsonii,"Spiroplasma poulsonii strain MSRO-SE SMSE_c001, whole genome shotgun sequence",True
NZ_FOTC01000001,553466,Archaea,Halogranum rubrum,"Halogranum rubrum strain CGMCC 1.7738, whole genome shotgun sequence",True
BX950851,218491,Bacteria,Pectobacterium atrosepticum SCRI1043,"Erwinia carotovora subsp. atroseptica SCRI1043, complete genome",True
CP032627,2419773,Bacteria,Lactococcus allomyrinae,"Lactococcus allomyrinae strain 1JSPR-7 chromosome, complete genome",True
JTHH01000008,1441,Bacteria,Bacillus thuringiensis serovar morrisoni,"Bacillus thuringiensis serovar morrisoni strain HD 600 BG10.Contig244, whole genome shotgun sequence",True
CP020809,482462,Bacteria,Mycobacterium dioxanotrophicus,"Mycobacterium dioxanotrophicus strain PH-06 chromosome, complete genome",True
NZ_HF571038,1193518,Bacteria,Nostocoides jenkinsii Ben 74,"Nostocoides jenkinsii Ben 74, whole genome shotgun sequence",True
CP004005,1174529,Bacteria,Candidatus Liberibacter asiaticus str. gxpsy,"Candidatus Liberibacter asiaticus str. gxpsy, complete genome",True
CP014038,669,Bacteria,Vibrio harveyi,"Vibrio harveyi strain FDAARGOS_107 chromosome 1, complete sequence",True
CP014636,672,Bacteria,Vibrio vulnificus,"Vibrio vulnificus strain CECT 4999 chromosome I, complete sequence",True
