id,taxid,superkingdom,organism,title,valid
NC_023609,1458846,Viruses,Mycobacterium phage RhynO,"Mycobacterium phage RhynO, complete genome",True
MH338241,2234079,Viruses,Mycobacterium phage Tarynearal,"Mycobacterium phage Tarynearal, complete genome",True
MG839016,2079578,Viruses,Microbacterium phage AxiPup,"Microbacterium phage AxiPup, complete genome",True
MG962373,2094138,Viruses,Mycobacterium phage Morrow,"Mycobacterium phage Morrow, complete genome",True
MF668268,2027891,Viruses,Mycobacterium phage Aroostook,"Mycobacterium phage Aroostook, complete genome",True
NC_028775,1505027,Viruses,Staphylococcus phage 23MRA,"Staphylococcus phage 23MRA, complete genome",True
NC_028767,1636261,Viruses,Paenibacillus phage Vegas,"Paenibacillus phage Vegas, complete genome",True
NC_028932,1701853,Viruses,Mycobacterium phage Serenity,"Mycobacterium phage Serenity, complete genome",True
NC_028869,1698710,Viruses,Mycobacterium phage HyRo,"Mycobacterium phage HyRo, complete genome",True
NC_031003,1654781,Viruses,Propionibacterium phage Moyashi,"Propionibacterium phage Moyashi, complete genome",True
KT373978,1701847,Viruses,Mycobacterium phage Ukulele,"Mycobacterium phage Ukulele, complete genome",True
MH779515,2315545,Viruses,Mycobacterium phage Sweets,"Mycobacterium phage Sweets, complete genome",True
NC_001335,31757,Viruses,Fromanvirus L5,Mycobacterium phage L5 complete genome,True
KR337647,1655021,Viruses,Propionibacterium phage Solid,"Propionibacterium phage Solid, complete genome",True
NC_004112,51369,Viruses,Lactobacillus phage A2,"Lactobacillus phage A2, complete genome",True
KU160658,1772309,Viruses,Arthrobacter phage Muttlie,"Arthrobacter phage Muttlie, complete genome",True
MH834610,2419955,Viruses,Arthrobacter phage DrManhattan,"Arthrobacter phage DrManhattan, complete genome",True
KX522943,1873895,Viruses,Mycobacterium phage Gompeii16,"Mycobacterium phage Gompeii16, complete genome",True
MK112556,2488980,Viruses,Mycobacterium phage Zerg,"Mycobacterium phage Zerg, complete genome",True
MK359357,2502453,Viruses,Mycobacterium phage RomaT,"Mycobacterium phage RomaT, complete genome",True
MH371114,2250356,Viruses,Mycobacterium phage Childish,"Mycobacterium phage Childish, complete genome",True
MF668270,2027893,Viruses,Mycobacterium phage Emma,"Mycobacterium phage Emma, complete genome",True
MH271303,2201436,Viruses,Microbacterium phage MementoMori,"Microbacterium phage MementoMori, complete genome",True
MG925355,2099641,Viruses,Mycobacterium phage OlanP,"Mycobacterium phage OlanP, complete genome",True
JN020141,1036615,Viruses,Mycobacterium phage Shauna1,"Mycobacterium phage Shauna1, complete genome",True
MF773750,2040289,Viruses,Mycobacterium phage OKCentral2016,"Mycobacterium phage OKCentral2016, complete genome",True
NC_002667,151536,Viruses,Lactococcus phage bIL286,"Lactococcus prophage bIL286, complete genome",True
NC_031260,1647400,Viruses,Enterococcus phage Ec-ZZ2,"Enterococcus phage Ec-ZZ2, complete genome",True
NC_030919,1810705,Viruses,Salmonella phage 118970_sal4,"Salmonella phage 118970_sal4, complete genome",True
NC_023746,2922991,Viruses,Mycobacterium phage GUmbie,"Mycobacterium phage GUmbie, complete genome",True
NC_023707,1071504,Viruses,Mycobacterium phage Turbido,"Mycobacterium phage Turbido, complete genome",True
MH153805,2182355,Viruses,Microbacterium phage Martin,"Microbacterium phage Martin, complete genome",True
NC_015209,2785247,Viruses,Vibrio phage CTXphi,"Vibrio phage CTXphi, complete genome",True
NC_010807,529929,Viruses,Salmonella phage phiSG-JL2,"Salmonella phage phiSG-JL2, complete genome",True
NC_021301,1327777,Viruses,Mycobacterium phage SiSi,"Mycobacterium phage SiSi, complete genome",True
KR781349,1673886,Viruses,Mycobacterium phage Apizium,"Mycobacterium phage Apizium, complete genome",True
NC_014461,2919553,Viruses,Mycobacterium phage LeBron,"Mycobacterium phage LeBron, complete genome",True
KX574454,1897542,Viruses,Mycobacterium phage PacerPaul,"Mycobacterium phage PacerPaul, complete genome",True
NC_021533,1262532,Viruses,Mycobacterium phage BTCU-1,"Mycobacterium phage BTCU-1, complete genome",True
NC_019506,1042122,Viruses,Clostridium phage phiCP13O,"Clostridium phage phiCP13O, complete genome",True
NC_021540,1283071,Viruses,Vibrio phage JA-1,"Vibrio phage JA-1, complete genome",True
NC_019927,984186,Viruses,Cronobacter phage ENT47670,"Cronobacter phage ENT47670, complete genome",True
MF919519,2041540,Viruses,Mycobacterium phage Longacauda,"Mycobacterium phage Longacauda, complete genome",True
NC_013645,2919544,Viruses,Streptococcus phage Abc2,"Streptococcus phage Abc2, complete genome",True
NC_010393,129862,Viruses,Phage Gifsy-2,"Phage Gifsy-2, complete genome",True
NC_031065,1815631,Viruses,Salmonella phage vB_SnwM_CGG4-1,"Salmonella phage vB_SnwM_CGG4-1, complete genome",True
MH155871,2182398,Viruses,Mycobacterium phage Mattes,"Mycobacterium phage Mattes, complete genome",True
MH271305,2201429,Viruses,Gordonia phage Morrissey,"Gordonia phage Morrissey, complete genome",True
MH910037,2419610,Viruses,Arthrobacter phage Isolde,"Arthrobacter phage Isolde, complete genome",True
MK392364,2510526,Viruses,Streptomyces phage Nishikigoi,"Streptomyces phage Nishikigoi, complete genome",True
NC_021319,1273747,Viruses,Haloarcula californiae tailed virus 2,"Halovirus HCTV-2, complete genome",True
MK310144,2500799,Viruses,Mycobacterium phage CicholasNage,"Mycobacterium phage CicholasNage, complete genome",True
MH976514,2483672,Viruses,Gordonia phage Nordenberg,"Gordonia phage Nordenberg, complete genome",True
KT285706,1698417,Viruses,Mycobacterium phage Pioneer,"Mycobacterium phage Pioneer, complete genome",True
JN083853,1041808,Viruses,Mycobacterium phage Airmid,"Mycobacterium phage Airmid, complete genome",True
MH590599,2283303,Viruses,Streptomyces phage Karimac,"Streptomyces phage Karimac, complete genome",True
MH051265,2126806,Viruses,Mycobacterium phage Yahalom,"Mycobacterium phage Yahalom, complete genome",True
NC_030909,1777064,Viruses,Pseudomonas phage YMC11/07/P54_PAE_BP,"Pseudomonas phage YMC11/07/P54_PAE_BP, complete genome",True
MK112528,2488952,Viruses,Arthrobacter phage Beethoven,"Arthrobacter phage Beethoven, complete genome",True
MK061412,2488789,Viruses,Streptomyces phage Gilson,"Streptomyces phage Gilson, complete genome",True
KU867907,1818107,Viruses,Mycobacterium phage Potter,"Mycobacterium phage Potter, complete genome",True
KX522650,1873902,Viruses,Arthrobacter phage Conboy,"Arthrobacter phage Conboy, complete genome",True
NC_027390,1560284,Viruses,Proteus phage PM 93,"Proteus phage PM 93, complete genome",True
NC_011292,563121,Viruses,Mycobacterium phage Konstantine,"Mycobacterium phage Konstantine, complete genome",True
NC_001629,2898540,Viruses,Lactococcus phage bIL67,"Lactococcus phage bIL67, complete genome",True
NC_031120,1883379,Viruses,Erwinia phage vB_EamM_Caitlin,"Erwinia phage vB_EamM_Caitlin, complete genome",True
JX411619,2927991,Viruses,Mycobacterium phage Rebeuca,"Mycobacterium phage Rebeuca, complete genome",True
NC_019913,685892,Viruses,Pseudomonas phage PaP1,"Pseudomonas phage PaP1, complete genome",True
NC_023605,1461743,Viruses,Vibrio phage PVA1,"Vibrio phage PVA1, complete genome",True
JX649096,1235694,Viruses,Mycobacterium phage Serpentine,"Mycobacterium phage Serpentine, complete genome",True
MH576974,2283259,Viruses,Mycobacterium phage Sibs6,"Mycobacterium phage Sibs6, complete genome",True
MH230874,2178918,Viruses,Mycobacterium phage Banjo,"Mycobacterium phage Banjo, complete genome",True
MK279894,2499069,Viruses,Mycobacterium phage YouGoGlencoco,"Mycobacterium phage YouGoGlencoco, complete genome",True
GQ303264,663558,Viruses,Mycobacterium phage Puhltonio,"Mycobacterium phage Puhltonio, complete genome",True
NC_030953,1863008,Viruses,Shigella phage SHFML-11,"Shigella phage SHFML-11, complete genome",True
NC_009334,12509,Viruses,Human herpesvirus 4 type 2,"Human herpesvirus 4, complete genome",True
NC_027362,1500816,Viruses,Propionibacterium phage PHL116M00,"Propionibacterium phage PHL116M00, complete genome",True
MK112554,2488978,Viruses,Mycobacterium phage TinyTim,"Mycobacterium phage TinyTim, complete genome",True
NC_027394,1540093,Viruses,Bacillus phage Pookie,"Bacillus phage Pookie, complete genome",True
NC_021329,1273752,Viruses,Halorubrum tailed virus 4,"Halovirus HRTV-4, complete genome",True
MH155869,2182396,Viruses,Streptomyces phage HotFries,"Streptomyces phage HotFries, complete genome",True
KY385384,1933771,Viruses,Mycobacterium phage SimranZ1,"Mycobacterium phage SimranZ1, complete genome",True
MF140435,2015891,Viruses,Mycobacterium phage Wintermute,"Mycobacterium phage Wintermute, complete genome",True
MG925351,2099635,Viruses,Mycobacterium phage MPlant7149,"Mycobacterium phage MPlant7149, complete genome",True
NC_031051,1871692,Viruses,Enterococcus phage SANTOR1,"Enterococcus phage SANTOR1, complete genome",True
NC_030913,1838083,Viruses,Gordonia phage Wizard,"Gordonia phage Wizard, complete genome",True
MK524518,2530150,Viruses,Mycobacterium phage Smurph,"Mycobacterium phage Smurph, complete genome",True
NC_028819,1636200,Viruses,Pseudoalteromonas phage H103,"Pseudoalteromonas Phage H103, complete genome",True
NC_027627,1655021,Viruses,Propionibacterium phage Solid,"Propionibacterium phage Solid, complete genome",True
MH450121,2250413,Viruses,Arthrobacter phage KingBob,"Arthrobacter phage KingBob, complete genome",True
MK112526,2488951,Viruses,Arthrobacter phage Aledel,"Arthrobacter phage Aledel, complete genome",True
MG198777,2047869,Viruses,Corynebacterium phage Darwin,"Corynebacterium phage Darwin, complete genome",True
JN572061,1076631,Viruses,Mycobacterium phage Jebeks,"Mycobacterium phage Jebeks, complete genome",True
NC_023695,1086800,Viruses,Mycobacterium phage Violet,"Mycobacterium phage Violet, complete genome",True
MK524524,2530160,Viruses,Streptomyces phage Caelum,"Streptomyces phage Caelum, complete genome",True
