model,run,split,mcc,f1,accuracy,precision,recall
best,0,test_predphi,0.42284528844510033,0.6950596252129472,0.7103559870550162,0.7338129496402878,0.6601941747572816
best,0,test_all,-0.22267712484366417,0.26431162277243336,0.3957253886010363,0.21664943123061015,0.338859684593611
best,1,test_predphi,0.3140762906652286,0.5872259294566253,0.6496763754045307,0.7146171693735499,0.49838187702265374
best,1,test_all,-0.13861904539349634,0.24535173471343685,0.4900259067357513,0.23323615160349853,0.2587949858471492
best,2,test_predphi,0.3821977238869714,0.6553571428571429,0.6877022653721683,0.7310756972111554,0.5938511326860841
best,2,test_all,-0.14409852021619593,0.2499063319595354,0.4813471502590674,0.23280977312390924,0.2697128993125758
best,3,test_predphi,0.4237125609897984,0.6864628820960699,0.709546925566343,0.74573055028463,0.6359223300970874
best,3,test_all,-0.19208357550451477,0.25836837678721614,0.4288860103626943,0.22119815668202766,0.31055398301657905
best,4,test_predphi,0.43769139109589106,0.6912928759894459,0.7160194174757282,0.7572254335260116,0.6359223300970874
best,4,test_all,-0.18260308350721377,0.2577884286203355,0.4383419689119171,0.22350845948352627,0.3044884755357865
best,5,test_predphi,0.35360830706101165,0.6552020636285468,0.6755663430420712,0.6990825688073394,0.616504854368932
best,5,test_all,-0.12757433636469787,0.2639198218262806,0.48626943005181344,0.2439108061749571,0.2875050545895673
best,6,test_predphi,0.4788538304960959,0.7278854254422915,0.738673139158576,0.7592267135325131,0.6990291262135923
best,6,test_all,-0.21494605128060143,0.266877971473851,0.40077720207253886,0.21944227260880897,0.3404771532551557
best,7,test_predphi,0.46284376918837333,0.7292006525285482,0.7313915857605178,0.7351973684210527,0.7233009708737864
best,7,test_all,-0.19618418987808844,0.24312086381051898,0.43704663212435235,0.21352095442031202,0.2822482814395471
best,8,test_predphi,0.3193294713404787,0.6292725679228747,0.6577669902912622,0.6864244741873805,0.580906148867314
best,8,test_all,-0.15587917428316095,0.25259326660600545,0.46800518134715025,0.22964923891462607,0.28063081277800245
best,9,test_predphi,0.4095085275110699,0.682800345721694,0.7030744336569579,0.7328385899814471,0.63915857605178
best,9,test_all,-0.12517449410288395,0.26669132605881263,0.48639896373056996,0.24573960463531017,0.29154872624342903
small2,0,test_predphi,0.5550517883270362,0.7787610619469026,0.7775080906148867,0.7744,0.7831715210355987
small2,0,test_all,0.3206482558543144,0.5749354005167958,0.5738341968911918,0.422441617619138,0.8997169429842297
small2,1,test_predphi,0.5728185336351392,0.7860615883306321,0.7864077669902912,0.7873376623376623,0.7847896440129449
small2,1,test_all,0.31318798417140065,0.569508400746733,0.5519430051813472,0.41136281912980943,0.9251920744035584
small2,2,test_predphi,0.5683549134536692,0.7798845836768343,0.7839805825242718,0.7949579831932773,0.7653721682847896
small2,2,test_all,0.2759288462423497,0.5549949545913219,0.5430051813471503,0.4032997250229148,0.8896077638495754
small2,3,test_predphi,0.5367813026134745,0.7598326359832636,0.767799352750809,0.7868284228769498,0.7346278317152104
small2,3,test_all,0.2811394883890798,0.5576503783506477,0.5532383419689119,0.4083395942900075,0.879094217549535
small2,4,test_predphi,0.5557157696539087,0.7717842323651453,0.7775080906148867,0.7921635434412265,0.7524271844660194
small2,4,test_all,0.33835718967031786,0.5853859914682813,0.6097150259067358,0.44367959949937424,0.860088960776385
small2,5,test_predphi,0.5390897893600236,0.7658175842235004,0.7694174757281553,0.7779632721202003,0.7540453074433657
small2,5,test_all,0.3247905129643191,0.5778130371545683,0.58639896373057,0.4292730844793713,0.8835422563687828
small2,6,test_predphi,0.5648143975712221,0.7804081632653062,0.7823624595469255,0.7874794069192751,0.7734627831715211
small2,6,test_all,0.33057048801242306,0.5789203084832905,0.5756476683937823,0.42434520444695684,0.9106348564496562
small2,7,test_predphi,0.585763585242713,0.7932148626817448,0.7928802588996764,0.7919354838709678,0.7944983818770227
small2,7,test_all,0.2800072037827803,0.5562484410077326,0.5391191709844559,0.40216411181244366,0.9017387788111605
small2,8,test_predphi,0.6133336510144651,0.8052159739201304,0.8066343042071198,0.8111658456486043,0.7993527508090615
small2,8,test_all,0.29095945083176766,0.5619451949054419,0.5589378238341969,0.4120754716981132,0.8831378892033966
small2,9,test_predphi,0.5697254958151123,0.7823240589198036,0.7847896440129449,0.7913907284768212,0.7734627831715211
small2,9,test_all,0.3122245359697139,0.5680952965737444,0.5444300518134715,0.40793650793650793,0.9353012535382127
small2_30ig,0,test_predphi,0.5567392701337942,0.7761437908496732,0.7783171521035599,0.7838283828382838,0.7686084142394822
small2_30ig,0,test_all,0.3006608639530955,0.5654875110942057,0.5560880829015544,0.41189508681196896,0.9017387788111605
small2_30ig,1,test_predphi,0.5388525878645428,0.768480909829407,0.7694174757281553,0.7716150081566069,0.7653721682847896
small2_30ig,1,test_all,0.2923271999081055,0.5620086228759827,0.5525906735751296,0.4093848143358581,0.8960776384957542
small2_30ig,2,test_predphi,0.5263386321691557,0.7463456577815993,0.761326860841424,0.7963302752293578,0.7022653721682848
small2_30ig,2,test_all,0.3366400786413289,0.5846707249584947,0.611139896373057,0.44437434279705573,0.8544278204609785
small2_30ig,3,test_predphi,0.5361893777049813,0.7622203811101905,0.767799352750809,0.7809847198641766,0.7443365695792881
small2_30ig,3,test_all,0.3401958360300413,0.5844616800315499,0.5905440414507772,0.43299571484222826,0.8989082086534573
small2_30ig,4,test_predphi,0.5663430420711975,0.7831715210355987,0.7831715210355987,0.7831715210355987,0.7831715210355987
small2_30ig,4,test_all,0.30567826133210557,0.5685766139486648,0.5689119170984456,0.4184315970234688,0.8867771936918722
small2_30ig,5,test_predphi,0.6094491538864449,0.809748427672956,0.8042071197411004,0.7874617737003058,0.8333333333333334
small2_30ig,5,test_all,0.2540696802325859,0.5449472279509887,0.5141191709844559,0.38925476603119585,0.9082086534573393
small2_30ig,6,test_predphi,0.5147005992515171,0.7459915611814346,0.7564724919093851,0.7795414462081128,0.7152103559870551
small2_30ig,6,test_all,0.33983879334544104,0.5841194968553459,0.588860103626943,0.43206047683659626,0.9013344116457743
small2_30ig,7,test_predphi,0.5712579915781166,0.7871485943775101,0.7855987055016181,0.7814992025518341,0.7928802588996764
small2_30ig,7,test_all,0.27417137988745777,0.5542259730444641,0.541580310880829,0.40248810830589093,0.8896077638495754
small2_30ig,8,test_predphi,0.5712041412264707,0.7850770478507705,0.7855987055016181,0.7869918699186992,0.7831715210355987
small2_30ig,8,test_all,0.3071735391344025,0.5687203791469194,0.563860103626943,0.4161979752530934,0.8976951071572988
small2_30ig,9,test_predphi,0.5749042509474103,0.782824112303881,0.7872168284789643,0.7993254637436762,0.7669902912621359
small2_30ig,9,test_all,0.29992181317303,0.5663438890342842,0.5707253886010363,0.4186496420971174,0.8750505458956733
