DNABERTBACTSTRAT,NT2PHAGESTRAT,NT2BACTSTRAT,MEGADNAPHAGESTRAT,DNABERTPHAGESTRAT,MEGADNABACTSTRAT,F1Score1,Average
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,Tf4idfStrategy,MaxStrategy,0.9102564102564104,.9102
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,0.9201982651796777,.9201
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,0.9230391555173684,.9230
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,0.9257352941176471,.9257
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,Tf4idfStrategy,0.9157881982309463,.9157
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TfidfStrategy,TruncateStrategy,0.9357667693766296,.9357
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,0.9383275676965286,.9383
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TfidfStrategy,0.9245837414299706,.9245
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,MaxStrategy,0.9344049166765158,.9344
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TfidfStrategy,0.9457773512476009,.9457
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,0.9369347929557355,.9369
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,TfidfStrategy,0.9178997613365155,.9178
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,0.9484088717454195,.9484
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TfidfStrategy,Tf4idfStrategy,0.92700129305278,.9270
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,Tf4idfStrategy,0.9298308744152572,.9298
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,TfidfStrategy,0.9301448933914478,.9301
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,0.944504374925087,.9445
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TfidfStrategy,MaxStrategy,0.9271679021061302,.9271
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,0.9458579524900519,.9458
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,Tf4idfStrategy,Tf4idfStrategy,0.937096388423822,.9370
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,0.8629561564715148,.8629
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TfidfStrategy,Tf4idfStrategy,0.9043686415320169,.9043
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,Tf4idfStrategy,TfidfStrategy,0.863843648208469,.8638
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,Tf4idfStrategy,TruncateStrategy,0.9332683877252801,.9332
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,MaxStrategy,0.8846647829437452,.8846
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,Tf4idfStrategy,MaxStrategy,0.9259444583437577,.9259
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TfidfStrategy,TruncateStrategy,0.9461149867693047,.9461
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,MaxStrategy,TruncateStrategy,0.9472034715525555,.9472
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,MaxStrategy,0.905997764808146,.9059
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,MaxStrategy,0.9429421979657653,.9429
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,Tf4idfStrategy,TruncateStrategy,0.9452087859039344,.9452
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,MaxStrategy,TruncateStrategy,0.9458614051973051,.9458
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,MaxStrategy,TfidfStrategy,0.9434007707129093,.9434
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,MaxStrategy,TfidfStrategy,0.9087923193532087,.9087
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TfidfStrategy,MaxStrategy,0.9484361792054099,.9484
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TfidfStrategy,0.9411060569786929,.9411
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TfidfStrategy,0.9323308270676692,.9323
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,MaxStrategy,0.9458778351134045,.9458
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,0.9467484072604879,.9467
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,0.9454195720125029,.9454
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TruncateStrategy,0.9464414957780458,.9464
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,MaxStrategy,Tf4idfStrategy,0.9074901110118668,.9074
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,MaxStrategy,MaxStrategy,0.9474064267661573,.9474
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,0.9408634659571895,.9408
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,0.9470382434551816,.9470
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,Tf4idfStrategy,0.9408227086841472,.9408
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,TfidfStrategy,0.941783699435842,.9417
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,0.9312269865779784,.9312
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,0.9449651526075462,.9449
