NT2PhageStrategy,NT2BactStrategy,MegaDNAPhageStrategy,MegaDNABactStrategy,DNABERTPhageStrategy,DNABERTBactStrategy,F1Score1,F1Score2,F1Score3,F1Score4,F1Score5,Average
MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,0.9506292343139648,0.948090136051178,0.9579256176948547,,,.9522
MaxStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,MaxStrategy,0.9653151035308838,0.9653151035308838,0.9625668525695801,,,.9643
MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,0.9539505839347839,0.9605839252471924,0.9586777091026306,,,.9577
MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,0.9600778818130493,0.9517374634742737,0.961519718170166,,,.9577
MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,0.9620253443717957,0.9602712988853455,0.9539951682090759,,,.9587
MaxStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,TKPertStrategy,TruncateStrategy,0.9454370141029358,0.9554263353347778,0.9648780226707458,,,.9552
MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,0.9539951682090759,0.9612027406692505,0.9582929015159607,,,.9578
MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,TKPertStrategy,0.9466089606285095,0.9534432291984558,0.9654164910316467,,,.9551
MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,0.9403714537620544,0.9572060704231262,0.9620991349220276,,,.9532
MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,TKPertStrategy,MaxStrategy,0.9608506560325623,0.9506769776344299,0.9444444179534912,,,.9519
MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,0.9557608366012573,0.9626032114028931,0.9596107006072998,,,.9593
MaxStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,MaxStrategy,TruncateStrategy,0.9521970152854919,0.9539505839347839,0.9644076228141785,,,.9568
MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,0.9483839869499207,0.9610894918441772,0.9397944211959839,,,.9497
MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,0.9481765627861023,0.9604299068450928,0.9396762847900391,,,.9494
MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,TruncateStrategy,0.9526569843292236,0.9629268050193787,0.9587578773498535,,,.9581
MaxStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,0.961240291595459,0.9639727473258972,0.9579100012779236,,,.9610
MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,0.9480769038200378,0.948877215385437,0.9523809552192688,,,.9497
MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,0.9455252885818481,0.9564796686172485,0.9619140625,,,.9546
MaxStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,TruncateStrategy,TruncateStrategy,0.9577874541282654,0.960622251033783,0.962890625,,,.9604
MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,0.960774838924408,0.9587578773498535,0.928225040435791,,,.9492
MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,TKPertStrategy,TKPertStrategy,0.9584138989448547,0.9507076740264893,0.9469624161720276,,,.9520
MaxStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,TKPertStrategy,0.9449806809425354,0.92829829454422,0.9614822268486023,,,.9449
MaxStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,TruncateStrategy,0.9498553276062012,0.9673011302947998,0.9664233326911926,,,.9611
MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,TKPertStrategy,0.9619883298873901,0.9523346424102783,0.9506292343139648,,,.9549
MaxStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,TKPertStrategy,0.9466992616653442,0.9559321999549866,0.9554694890975952,,,.9527
MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,0.957581639289856,0.9467114806175232,0.9544573426246643,,,.9529
MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,MaxStrategy,0.9564796686172485,0.9601167440414429,0.9625304341316223,,,.9597
MaxStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,TruncateStrategy,0.9504373073577881,0.9631068110466003,0.9568204283714294,,,.9567
MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,0.9668616056442261,0.9574056267738342,0.9575289487838745,,,.9605
MaxStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,TruncateStrategy,MaxStrategy,0.9442307949066162,0.9563530683517456,0.963468074798584,,,.9546
MaxStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,MaxStrategy,MaxStrategy,0.9581711888313293,0.9407733678817749,0.9521484375,,,.9503
MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,0.9525653719902039,0.9597673416137695,0.9588776230812073,,,.9570
MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,0.951636552810669,0.9617803692817688,0.9561022520065308,,,.9565
MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,0.9543689489364624,0.9427609443664551,0.9643728733062744,,,.9538
MaxStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,MaxStrategy,0.9634324908256531,0.9558038115501404,0.9546562433242798,,,.9579
MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,0.9592233300209045,0.9664233326911926,0.9509143233299255,,,.9588
MaxStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,MaxStrategy,TKPertStrategy,0.9473684430122375,0.9481840133666992,0.9578284025192261,,,.9511
MaxStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,0.9563953280448914,0.9582524299621582,0.9616690874099731,,,.9587
MaxStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,TKPertStrategy,MaxStrategy,0.9577053785324097,0.9502655863761902,0.9600778818130493,,,.9560
MaxStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,0.962135910987854,0.9602327942848206,0.9315476417541504,,,.9513
MaxStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,MaxStrategy,TruncateStrategy,0.9620622396469116,0.9611272811889648,0.9535906314849854,,,.9589
MaxStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,TKPertStrategy,0.9510421752929688,0.9602712988853455,0.9302103519439697,,,.9471
MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,MaxStrategy,0.9614822268486023,0.9621726274490356,0.9582524299621582,,,.9606
MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,0.943469762802124,0.9543689489364624,0.961519718170166,,,.9531
MaxStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,MaxStrategy,0.9586777091026306,0.9536231756210327,0.9616690874099731,,,.9579
MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,0.9539058804512024,0.9601554870605469,0.9524733424186707,,,.9555
MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,TKPertStrategy,0.9552963972091675,0.9640077948570251,0.9599999785423279,,,.9597
MaxStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,0.9435055255889893,0.9475747346878052,0.9548762440681458,,,.9486
MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,TKPertStrategy,TKPertStrategy,0.9638318419456482,0.9647404551506042,0.9485329389572144,,,.9590
MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,TKPertStrategy,0.9569007158279419,0.9521045088768005,0.9567751288414001,,,.9552
MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,0.9550072550773621,0.9574987888336182,0.9640427827835083,,,.9588
MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,TKPertStrategy,0.952150821685791,0.957446813583374,0.9530266523361206,,,.9542
MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,MaxStrategy,0.9258536696434021,0.9619883298873901,0.9624573588371277,,,.9500
MaxStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,0.9533980488777161,0.9451189637184143,0.9638671875,,,.9541
MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,0.9498553276062012,0.9624207019805908,0.9592233300209045,,,.9571
MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,0.9584138989448547,0.9512194991111755,0.9538611173629761,,,.9544
MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,0.9604685306549072,0.9611650705337524,0.9442559480667114,,,.9552
MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,0.960698664188385,0.9579100012779236,0.9552963972091675,,,.9579
MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,0.9591041803359985,0.9507246613502502,0.9554263353347778,,,.9550
MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,0.94767165184021,0.9590643048286438,0.9482926726341248,,,.9516
MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,0.9538611173629761,0.9558894634246826,0.940893828868866,,,.9502
MaxStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,TruncateStrategy,0.9407191276550293,0.9457364082336426,0.9470616579055786,,,.9445
MaxStrategy,MaxStrategy,Tf4idfStrategy,TKPertStrategy,TruncateStrategy,TruncateStrategy,0.9609375,0.9540396928787231,0.9610894918441772,,,.9586
MaxStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,MaxStrategy,0.962493896484375,0.9521970152854919,0.961013674736023,,,.9585
MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,TKPertStrategy,0.9609375,0.9552963972091675,0.9610894918441772,,,.9591
MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,TruncateStrategy,TKPertStrategy,0.9578692317008972,0.9407228827476501,0.955165684223175,,,.9512
MaxStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,TruncateStrategy,0.9325337409973145,0.9563106894493103,0.960899293422699,,,.9499
MaxStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,0.952798068523407,0.9588776230812073,0.9605839252471924,,,.9574
MaxStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,0.9591439962387085,0.9498069286346436,0.9521970152854919,,,.9537
MaxStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,0.9643728733062744,0.9629268050193787,0.9623472094535828,,,.9632
MaxStrategy,MaxStrategy,Tf4idfStrategy,Tf4idfStrategy,TKPertStrategy,TKPertStrategy,0.9587578773498535,0.9551219344139099,0.9543689489364624,,,.9560
