phage_id,split,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59
GQ303259,train,0.0,0.0,0.0,0.0,0.0,0.0,0.69876015,0.0,0.14394853,0.6294326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41093692,0.0,0.9984501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107707344,0.0,0.0,0.0,0.045216948,0.0,0.0,0.0,0.0,0.009793162,0.0,0.36333358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7689432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GQ303261,train,0.0,0.0,0.0,0.0,0.0,0.0,0.88074285,0.0,0.0,0.14264894,0.054154046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124679945,0.0,0.0,0.0,0.0,0.0,0.0,0.29461953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0701856,0.22636762,1.0547454,0.0,0.11444016,0.0,0.0,0.0,0.0,0.0,0.39576775,0.0,0.58192015
GQ303262,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17087461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05557727,0.4448434,0.0,0.79621017,0.0,0.0,0.0,0.0,0.0,0.0,0.54759216,0.6997521,0.0,0.0,0.0,0.09070529,0.0,0.0,0.0,0.049182355,0.17063746,0.0,0.018831149,0.4467104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24824509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GQ303264,train,0.0,0.0,0.0,0.0,0.0,0.0,0.6977236,0.0,0.05974385,0.6619141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3681298,0.0,0.8490009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0364976,0.0,0.0,0.0,0.1149247,0.0,0.0,0.0,0.0,0.0,0.0,0.41393712,0.030152738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66766036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GQ303265,train,0.0,0.0,0.0,0.0,0.0,0.0,0.44358775,0.061871335,0.0724227,0.5271373,0.19933884,0.0,0.0,0.0,0.0,0.0,0.0,0.27667823,0.0,0.91784364,0.0,0.0,0.0,0.0,0.0,0.040193096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056716397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24939243,0.0,0.931838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035498023
GQ303266,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06149135,0.0,0.0,0.0,0.20865212,0.0,0.117292866,0.0,0.0,0.0,0.0,0.0,0.0,0.51261014,0.4736463,0.0,0.0,0.0,0.19287041,0.0,0.0,0.0,0.09673328,0.0,0.0,0.12749055,0.42885387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03422086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GU247133,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17859119,0.0,0.0,0.028209157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6687046,0.30140543,0.0,0.0,0.0,0.10249534,0.06263721,0.0,0.0,0.37763998,0.0,0.0,0.14617863,0.4310196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44168794,0.34920532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14659825,0.0,0.0
GU247134,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02356941,0.0,0.0,0.0,0.0,0.0,0.16331904,0.0,0.0,0.04527852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75672555,0.3052805,0.0,0.0,0.0,0.07607838,0.0054826317,0.0,0.0,0.4267684,0.0,0.0,0.08355723,0.4542895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40563717,0.39144364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1723617,0.0,0.0
HM152765,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1355743,0.32351515,0.998006,0.18565515,0.0,0.0,0.0,0.0,0.0,0.0,0.45355803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6335613,0.4529507,0.0,0.0,0.0,0.88152933,0.28112397,0.0,0.0,0.0,0.15574387,0.0,0.0,0.53311616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18297198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HM152766,train,0.0,0.0,0.0,0.0,0.0,0.0,0.51635355,0.0,0.0,0.4559607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049896475,0.0,0.23819958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045942932,0.0,0.0,0.0,0.0,0.0,0.0,0.017625242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20874734,0.4151204,0.0,0.4035372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013288528
